Timestamp,Level meter,Flow meter,Setpoint,Fill value,Discharge value,SP,PV
"2024-06-04 12:58:50,276",21081,0,0,,,,
"2024-06-04 12:58:50,282",,,,13685,0,0,0
"2024-06-04 12:58:50,292",21109,0,0,,,,
"2024-06-04 12:58:50,297",,,,13685,0,0,0
"2024-06-04 12:58:50,308",21137,0,0,,,,
"2024-06-04 12:58:50,313",,,,13685,0,0,0
"2024-06-04 12:58:50,323",21159,0,0,,,,
"2024-06-04 12:58:50,329",,,,13685,0,0,0
"2024-06-04 12:58:50,339",21187,0,0,,,,
"2024-06-04 12:58:50,344",,,,13685,0,0,0
"2024-06-04 12:58:50,355",21210,0,0,,,,
"2024-06-04 12:58:50,360",,,,13685,0,0,0
"2024-06-04 12:58:50,379",21232,0,0,,,,
"2024-06-04 12:58:50,388",,,,13685,0,0,0
"2024-06-04 12:58:50,398",21258,0,0,,,,
"2024-06-04 12:58:50,403",,,,13685,0,0,0
"2024-06-04 12:58:50,414",21286,0,0,,,,
"2024-06-04 12:58:50,419",,,,13685,0,0,0
"2024-06-04 12:58:50,429",21308,0,0,,,,
"2024-06-04 12:58:50,435",,,,13685,0,0,0
"2024-06-04 12:58:50,445",21331,0,0,,,,
"2024-06-04 12:58:50,451",,,,13685,0,0,0
"2024-06-04 12:58:50,462",21353,0,0,,,,
"2024-06-04 12:58:50,467",,,,13685,0,0,0
"2024-06-04 12:58:50,478",21376,0,0,,,,
"2024-06-04 12:58:50,484",,,,13685,0,0,0
"2024-06-04 12:58:50,494",21398,0,0,,,,
"2024-06-04 12:58:50,500",,,,13685,0,0,0
"2024-06-04 12:58:50,511",21426,0,0,,,,
"2024-06-04 12:58:50,517",,,,13685,0,0,0
"2024-06-04 12:58:50,527",21449,0,0,,,,
"2024-06-04 12:58:50,533",,,,13685,0,0,0
"2024-06-04 12:58:50,543",21471,0,0,,,,
"2024-06-04 12:58:50,549",,,,13685,0,0,0
"2024-06-04 12:58:50,559",21499,0,0,,,,
"2024-06-04 12:58:50,565",,,,13685,0,0,0
"2024-06-04 12:58:50,575",21522,0,0,,,,
"2024-06-04 12:58:50,581",,,,13685,0,0,0
"2024-06-04 12:58:50,591",21544,0,0,,,,
"2024-06-04 12:58:50,597",,,,13685,0,0,0
"2024-06-04 12:58:50,607",21567,0,0,,,,
"2024-06-04 12:58:50,613",,,,13685,0,0,0
"2024-06-04 12:58:50,623",21595,0,0,,,,
"2024-06-04 12:58:50,629",,,,13685,0,0,0
"2024-06-04 12:58:50,639",21617,0,0,,,,
"2024-06-04 12:58:50,644",,,,13685,0,0,0
"2024-06-04 12:58:50,654",21640,0,0,,,,
"2024-06-04 12:58:50,660",,,,13685,0,0,0
"2024-06-04 12:58:50,670",21662,0,0,,,,
"2024-06-04 12:58:50,675",,,,13685,0,0,0
"2024-06-04 12:58:50,685",21685,0,0,,,,
"2024-06-04 12:58:50,691",,,,13685,0,0,0
"2024-06-04 12:58:50,701",21707,0,0,,,,
"2024-06-04 12:58:50,707",,,,13685,0,0,0
"2024-06-04 12:58:50,717",21730,0,0,,,,
"2024-06-04 12:58:50,722",,,,13685,0,0,0
"2024-06-04 12:58:50,732",21758,0,0,,,,
"2024-06-04 12:58:50,738",,,,13685,0,0,0
"2024-06-04 12:58:50,748",21783,0,0,,,,
"2024-06-04 12:58:50,754",,,,13685,0,0,0
"2024-06-04 12:58:50,764",21811,0,0,,,,
"2024-06-04 12:58:50,770",,,,13685,0,0,0
"2024-06-04 12:58:50,780",21834,0,0,,,,
"2024-06-04 12:58:50,785",,,,13685,0,0,0
"2024-06-04 12:58:50,796",21856,0,0,,,,
"2024-06-04 12:58:50,801",,,,13685,0,0,0
"2024-06-04 12:58:50,812",21879,0,0,,,,
"2024-06-04 12:58:50,817",,,,13685,0,0,0
"2024-06-04 12:58:50,827",21907,0,0,,,,
"2024-06-04 12:58:50,833",,,,13685,0,0,0
"2024-06-04 12:58:50,843",21929,0,0,,,,
"2024-06-04 12:58:50,849",,,,13685,0,0,0
"2024-06-04 12:58:50,859",21952,0,0,,,,
"2024-06-04 12:58:50,864",,,,13685,0,0,0
"2024-06-04 12:58:50,874",21974,0,0,,,,
"2024-06-04 12:58:50,880",,,,13685,0,0,0
"2024-06-04 12:58:50,890",21997,0,0,,,,
"2024-06-04 12:58:50,895",,,,13685,0,0,0
"2024-06-04 12:58:50,906",22025,0,0,,,,
"2024-06-04 12:58:50,912",,,,13685,0,0,0
"2024-06-04 12:58:50,923",22047,0,0,,,,
"2024-06-04 12:58:50,929",,,,13685,0,0,0
"2024-06-04 12:58:50,939",22070,0,0,,,,
"2024-06-04 12:58:50,944",,,,13685,0,0,0
"2024-06-04 12:58:50,955",22092,0,0,,,,
"2024-06-04 12:58:50,960",,,,13685,0,0,0
"2024-06-04 12:58:50,970",22123,0,0,,,,
"2024-06-04 12:58:50,976",,,,13685,32767,0,0
"2024-06-04 12:58:50,986",22151,0,0,,,,
"2024-06-04 12:58:50,992",,,,13685,32767,0,0
"2024-06-04 12:58:51,002",22174,4773,0,,,,
"2024-06-04 12:58:51,007",,,,13685,32767,0,0
"2024-06-04 12:58:51,018",22202,15591,0,,,,
"2024-06-04 12:58:51,023",,,,13685,32767,0,0
"2024-06-04 12:58:51,034",22224,20555,0,,,,
"2024-06-04 12:58:51,040",,,,13685,32767,0,0
"2024-06-04 12:58:51,051",22247,22929,0,,,,
"2024-06-04 12:58:51,056",,,,13685,32767,0,0
"2024-06-04 12:58:51,066",22269,23980,0,,,,
"2024-06-04 12:58:51,072",,,,13685,32767,0,0
"2024-06-04 12:58:51,082",22291,24409,0,,,,
"2024-06-04 12:58:51,088",,,,13685,32767,0,0
"2024-06-04 12:58:51,098",22312,24571,0,,,,
"2024-06-04 12:58:51,103",,,,13685,32767,0,0
"2024-06-04 12:58:51,113",22311,24623,0,,,,
"2024-06-04 12:58:51,119",,,,13685,32767,0,0
"2024-06-04 12:58:51,129",22172,24630,0,,,,
"2024-06-04 12:58:51,135",,,,13685,32767,0,0
"2024-06-04 12:58:51,145",21894,24619,0,,,,
"2024-06-04 12:58:51,151",,,,13685,32767,0,0
"2024-06-04 12:58:51,161",21712,24602,0,,,,
"2024-06-04 12:58:51,166",,,,13685,32767,0,0
"2024-06-04 12:58:51,176",21850,24584,0,,,,
"2024-06-04 12:58:51,182",,,,13685,32767,0,0
"2024-06-04 12:58:51,193",21989,24565,0,,,,
"2024-06-04 12:58:51,198",,,,13685,32767,0,0
"2024-06-04 12:58:51,208",21842,24541,0,,,,
"2024-06-04 12:58:51,214",,,,13685,32767,0,0
"2024-06-04 12:58:51,224",21726,24521,0,,,,
"2024-06-04 12:58:51,230",,,,13685,32767,0,0
"2024-06-04 12:58:51,240",21539,24502,0,,,,
"2024-06-04 12:58:51,245",,,,13685,32767,0,0
"2024-06-04 12:58:51,255",21452,24477,0,,,,
"2024-06-04 12:58:51,261",,,,13685,32767,0,0
"2024-06-04 12:58:51,272",21645,24458,0,,,,
"2024-06-04 12:58:51,278",,,,13685,32767,0,0
"2024-06-04 12:58:51,288",21649,24438,0,,,,
"2024-06-04 12:58:51,293",,,,13685,32767,0,0
"2024-06-04 12:58:51,303",21562,24419,0,,,,
"2024-06-04 12:58:51,309",,,,13685,32767,0,0
"2024-06-04 12:58:51,319",21582,24397,0,,,,
